# frame	pencil	paper	rank
M34-013-0082.jpg	0.01165	0.766	244
M34-013-0073.jpg	0.01160	0.780	245
M34-013-0291.jpg	0.01153	0.781	246
M34-013-0358.jpg	0.01152	0.834	247
M34-013-0072.jpg	0.01152	0.771	248
M34-013-0307.jpg	0.01150	0.834	249
M34-013-0385.jpg	0.01148	0.827	250
M34-013-0109.jpg	0.01147	0.796	251
M34-013-0086.jpg	0.01138	0.738	252
M34-013-0069.jpg	0.01119	0.772	253
M34-013-0050.jpg	0.01116	0.742	254
M34-013-0085.jpg	0.01115	0.733	255
M34-013-0117.jpg	0.01113	0.700	256
M34-013-0083.jpg	0.01112	0.795	257
M34-013-0105.jpg	0.01111	0.809	258
M34-013-0308.jpg	0.01111	0.843	259
M34-013-0099.jpg	0.01110	0.804	260
M34-013-0116.jpg	0.01109	0.801	261
M34-013-0329.jpg	0.01099	0.735	262
M34-013-0362.jpg	0.01091	0.802	263
M34-013-0042.jpg	0.01087	0.761	264
M34-013-0076.jpg	0.01084	0.810	265
M34-013-0390.jpg	0.01083	0.820	266
M34-013-0325.jpg	0.01064	0.834	267
M34-013-0316.jpg	0.01063	0.778	268
M34-013-0015.jpg	0.01062	0.783	269
M34-013-0389.jpg	0.01057	0.817	270
M34-013-0333.jpg	0.01047	0.775	271
M34-013-0084.jpg	0.01045	0.742	272
M34-013-0370.jpg	0.01041	0.777	273
M34-013-0026.jpg	0.01038	0.801	274
M34-013-0113.jpg	0.01035	0.827	275
M34-013-0363.jpg	0.01032	0.845	276
M34-013-0161.jpg	0.01032	0.832	277
M34-013-0384.jpg	0.01020	0.837	278
M34-013-0101.jpg	0.01018	0.710	279
M34-013-0152.jpg	0.01012	0.822	280
M34-013-0156.jpg	0.00997	0.780	281
M34-013-0281.jpg	0.00997	0.755	282
M34-013-0287.jpg	0.00992	0.797	283
M34-013-0040.jpg	0.00974	0.752	284
M34-013-0298.jpg	0.00967	0.780	285
M34-013-0198.jpg	0.00963	0.781	286
M34-013-0036.jpg	0.00953	0.775	287
M34-013-0289.jpg	0.00945	0.795	288
M34-013-0094.jpg	0.00936	0.624	289
M34-013-0003.jpg	0.00933	0.849	290
M34-013-0392.jpg	0.00918	0.845	291
M34-013-0199.jpg	0.00908	0.767	292
M34-013-0283.jpg	0.00898	0.613	293
M34-013-0290.jpg	0.00897	0.809	294
M34-013-0142.jpg	0.00891	0.789	295
M34-013-0111.jpg	0.00888	0.802	296
M34-013-0288.jpg	0.00884	0.809	297
M34-013-0297.jpg	0.00883	0.787	298
M34-013-0196.jpg	0.00873	0.781	299
M34-013-0219.jpg	0.00867	0.821	300
M34-013-0008.jpg	0.00867	0.655	301
M34-013-0386.jpg	0.00865	0.835	302
M34-013-0035.jpg	0.00860	0.735	303
M34-013-0300.jpg	0.00835	0.788	304
M34-013-0068.jpg	0.00825	0.755	305
M34-013-0197.jpg	0.00812	0.765	306
M34-013-0027.jpg	0.00811	0.759	307
M34-013-0123.jpg	0.00807	0.776	308
M34-013-0013.jpg	0.00805	0.727	309
M34-013-0164.jpg	0.00802	0.555	310
M34-013-0367.jpg	0.00801	0.627	311
M34-013-0067.jpg	0.00800	0.792	312
M34-013-0265.jpg	0.00799	0.808	313
M34-013-0348.jpg	0.00777	0.843	314
M34-013-0313.jpg	0.00765	0.809	315
M34-013-0162.jpg	0.00764	0.875	316
M34-013-0039.jpg	0.00759	0.822	317
M34-013-0268.jpg	0.00749	0.753	318
M34-013-0306.jpg	0.00748	0.801	319
M34-013-0264.jpg	0.00741	0.720	320
M34-013-0285.jpg	0.00732	0.841	321
M34-013-0022.jpg	0.00727	0.795	322
M34-013-0010.jpg	0.00727	0.635	323
M34-013-0299.jpg	0.00724	0.764	324
M34-013-0154.jpg	0.00722	0.784	325
M34-013-0327.jpg	0.00713	0.794	326
