index	code	transcribed_group	plaintext
4410	691^o	6^o 9 1	us
4411	885^_	8 8^_ 5	e
4412	952^_	9^_ 5^_ 2	onder
4413	30^o	3^o 0	riet
4414	114^_	1^_ 1^_ 4^_	ing[en]
4415	122^^	^_ 1 2^^ 2	ont
4416	939	9 3 9	
4417	132^CircleWithHorizontalBar	1 3^+ 2	zo
4418	40	4 0	dev
4419	583^CircleWithHorizontalBar	5^+ 8^_ 3	s
4420	"59^"""	5^'' 9	als
4421	120	1 2 0	
4422	408^_	4^_ 0^_ 8^_	mag
4423	4^CircleWithHorizontalBar	4^+	t
4424	28^_	2^_ 8^_	
4425	43^CircleWithHorizontalBar	4^+ 3^_	zal
4426	90	9 0	zÿn
4427	43^CircleWithHorizontalBar	4^+ 3^_	zal
4428	120	1 2 0	
4429	40^_	4^_ 0^_	
4430	784	7 8 4	gelÿk
4431	495^_	4^_ 9^_ 5	
4432	"801^"""	8^'' 0 1	dut
4433	86	8 6	en
4434	952^_	9^_ 5^_ 2	onder
4435	363^o	3^o 6 3	tusschen
4436	43^CircleWithHorizontalBar	4^+ 3	zal
4437	607^o	6^o 0 7	U HoogEdelGestrenge
4438	613^^	6^^ 1 3	reeds?
4439	60	6 0	door
4440	633^CircleWithHorizontalBar	6^+ 3^_ 3	de Heer graaf van ?
4441	38^_	3 8^_	
4442	181^CircleWithHorizontalBar	^_ 1 8^+ 1	wezen
4443	743	7 4 3	dak?
4444	191	1 9 1	ens
4445	7	7	te
4446	753^CircleWithHorizontalBar	7^+ 5 3	Croonstad
4447	609^o	6^o 0 9	uit
4448	550	5 5 0	ge
4449	111^o	1 1^o 1	rust?
4450	112^CircleWithHorizontalBar	1^+ 1 2	worden
4451	213^o	2 1^o 3	
4452	490	4 9 0	Esques?
4453	196	1 9 6	er
4454	25^^	^_ 2^^ 5	om
4455	184^o	1 8^o 4	tegen
4456	114^^	1^^ 1 4	het
4457	"104^"""	1 0^'' 4	aan
4458	923^^	9^^ 2 3	staan
4459	26	2 6	de
4460	731^o	7 3^o 1	voor
4461	173^_	1^_ 7^_ 3^_	jaar
4462	34^_	3^_ 4^_	
4463	44^CircleWithHorizontalBar	4^+ 4	zee
4464	7	7	te
4465	150^o	1 5^o 0	st
4466	113^^	1 1^^ 3	ee
4467	598^_	5^_ 9^_ 8^_	ken
4468	311	3 1 1	l
4469	841^o	8^o 4 1	une
4470	26	2 6	de
4471	644^o	6^o 4 4	vijf
4472	86	8 6	en
4473	516^o	5 1^o 6	
4474	518^o	5 1^o 8	Vaisseau de Ligne
4475	418^_	^_ 4 1 8	
4476	328	3 2 8	elf
4477	835	8 3 5	fregat
4478	"823^"""	8 2^'' 3	distin?
4479	113^^	1 1^^ 3	ee
4480	720^^	7^^ 2 0	pour
4481	378	3 7 8	la
4482	343^_	3^_ 4^_ 3	
4483	52	5 2	dit
4484	196	1 9 6	er
4485	"368^"""	3^'' 6 8	an
4486	113^^	1 1^^ 3	ee
4487	418	4 1 8	et
4488	311	3 1 1	l
4489	"82^"""	8^'' 2	
4490	26	2 6	de
4491	193^o	1^o 9 3	tien
4492	518^o	5 1^o 8	Vaisseau de Ligne
4493	418^_	^_ 4 1 8	
4494	26	2 6	de
4495	644^o	6 4^o 4	vijf
4496	147^^	1 4^^ 7	ou
4497	281^CircleWithHorizontalBar	2 8^+ 1	zes, six
4498	835	8 3 5	fregat
4499	720^^	^_ 7^^ 2 0	pour
4500	378	3 7 8	la
4501	381	3 8 1	b
4502	"203^"""	2^'' 0 3	
4503	268^o	2^o 6 8	ti
4504	673^^	6^^ 7 3	que
4505	28^^	2^^ 8	on
4506	36^^	3^^ 6	c
4507	806^^	8 0^^ 6	
4508	673^^	6^^ 7 3	que
4509	311	3 1 1	l
4510	"47^"""	4^'' 7	ad
4511	973^_	9^_ 7^_ 3^_	mi
4512	34^^	3^^ 4	r
4513	"128^"""	1^'' 2 8	al'
4514	198^_	1^_ 9^_ 8	g
4515	110^^	1^^ 1 0	ro
4516	5	5	i
4517	198^_	1 9^_ 8	g
4518	"444^"""	4^'' 4 4	command
4519	196	1 9 6	er
4520	156	1 5 6	a
4521	378	3 7 8	la
4522	425^^	4^^ 2 5	pre
4523	973^_	9^_ 7^_ 3	mi
4524	196	1 9 6	er
4525	37^^	3^^ 7	e
4526	418	4 1 8	et
4527	384	3 8 4	le
4528	36^^	3^^ 6	c
4529	280^_	2 8^_ 0	h
4530	872^_	8^_ 7^_ 2	
4531	941^^	9^^ 4 1	x
4532	236	2 3 6	des
4533	871^_	8^_ 7^_ 1	offres
4534	34^^	3^^ 4	r
4535	583^CircleWithHorizontalBar	5^+ 8^_ 3	s
4536	630^_	6^_ 3^_ 0	lui?
4537	"15^"""	1^'' 5	a
4538	350	3 5 0	ete
4539	26	2 6	de
4540	519	5 1 9	
4541	110^^	1^^ 1 0	ro
4542	984	9 8 4	hand
4543	37^^	3^^ 7	e
4544	583^CircleWithHorizontalBar	5^+ 8^_ 3	s
4545	311	3 1 1	l
4546	730^_	7^_ 3^_ 0^_	in
4547	47^_	4^_ 7^_	l
4548	822^^	8 2^^ 2	se
4549	"15^"""	1^'' 5	a
4550	373^o	3 7^o 3	ve
4551	757^^	7^^ 5 7	recht
4552	822^^	8^^ 2 2	se
4553	158	1 5 8	en
4554	120^o	1 2^o 0	schade
4555	404^_	4^_ 0^_ 4	lijk
4556	37^^	3^^ 7	e
4557	"37^"""	3^'' 7	aan ? Ed: ?
4558	976^_	9^_ 7^_ 6	min
4559	87	8 7	is
4560	4^CircleWithHorizontalBar	4^+	t
4561	34^^	3^^ 4	r
4562	"221^"""	2^'' 2 1	
4563	86	8 6	en
4564	366^^	3^^ 6 6	op
4565	196	1 9 6	er
4566	"227^"""	2^'' 2 7	atic?
4567	"59^"""	^_ 5^'' 9	als
4568	60	6 0	door
4569	26	2 6	de
4570	33^^	3^^ 3	m
4571	314	3 1 4	eenig
4572	89	8 9	s
4573	41^^	4^^ 1	u
4574	311	3 1 1	l
4575	18^o	1 8^o	d
4576	256^_	2^_ 5^_ 6	ige
4577	658^^	6 5^^ 8	pro
4578	18^o	1 8^o	d
4579	5	5	i
4580	198^_	1^_ 9^_ 8^_	g
4581	"128^"""	1^'' 2 8	al'
4582	517^_	5^_ 1^_ 7^_	iteet/ideet?
