desirable	93
gained	93
progress	93
objections	93
dearest	93
probability	93
founded	93
prison	93
included	93
necessarily	93
rise	93
highest	93
grandfather	93
cutting	93
distributing	93
nonsense	93
wondered	93
flite	93
provisions	92
draft	92
payment	92
passions	92
proceeding	92
sunday	92
waters	92
popular	92
covered	92
winter	92
election	92
ere	92
inward	92
suffering	92
nice	92
observing	92
composed	92
official	92
brow	92
professional	92
species	92
rolled	92
habits	92
source	92
strike	92
sees	91
capt	91
expenses	91
pressed	91
royal	91
purposes	91
rome	91
bearing	91
brain	91
physician	91
absolute	91
sits	91
inhabitants	91
ride	91
precisely	91
ones	91
severe	91
pains	91
confederation	91
claims	91
located	91
papa	91
awful	91
teeth	91
income	91
rope	91
fatal	91
hallward	91
lane	90
recommend	90
prevented	90
treated	90
seriously	90
slow	90
cousins	90
leading	90
compliment	90
sing	90
charm	90
game	90
wore	90
anger	90
federalist	90
randalls	90
enemies	89
xxiv	89
laying	89
devoted	89
leisure	89
needs	89
mortal	89
accordingly	89
pull	89
grounds	89
kill	89
rid	89
bore	89
iv	89
wolf	89
thick	89
actual	89
judges	89
indian	89
intellectual	89
parting	89
visible	89
handkerchief	89
branches	89
ocean	89
motives	89
barton	89
moby	89
dick	89
assembly	88
excited	88
stage	88
grace	88
firm	88
lighted	88
satisfactory	88
explained	88
perceived	88
walls	88
goodness	88
merry	88
bones	88
played	88
whisper	88
dust	88
bye	88
astonishment	88
longbourn	88
drummle	88
procure	87
employ	87
message	87
explain	87
consequently	87
idle	87
worked	87
saved	87
constantly	87
setting	87
policy	87
decision	87
horror	87
utterly	87
comply	87
examination	87
encouragement	87
hospital	87
suggested	87
produce	87
square	87
patient	87
calculated	87
drop	87
creatures	87
thin	87
painted	87
expectations	87
luck	87
advance	86
suspect	86
folly	86
et	86
conceive	86
deny	86
abode	86
mass	86
described	86
soft	86
softly	86
bank	86
moral	86
lamp	86
badger	86
hurried	86
sacrifice	86
unpleasant	86
kitty	86
confederacy	86
victuals	85
dared	85
officer	85
wicked	85
control	85
properly	85
camphere	85
gain	85
apart	85
derived	85
portion	85
jealous	85
cruel	85
recovered	85
tells	85
bitter	85
haste	85
pointing	85
remarked	85
brown	85
legislatures	85
parlour	85
lively	85
silly	85
becoming	85
allan	85
sibyl	85
en	84
named	84
wherefore	84
devotion	84
intentions	84
