1 9^.. 7	197	..
7^_ 3^_	73	__
8 2 3	823	
4 9^.. 5	495	..
4 7 2	472	
4 5 1	451	
6 9^.. 6	696	..
9 1	91	
3 6^_ 8	368	_
1 5^_ 5^_	155	__
4 8^_ 2^_	482	__
6 5^.. 7	657	..
6 7^. 4^.	674	..
7 6^_ 2	762	_
3 7 2	372	
8^_ 7^_ 4^_	874	___
7^_ 6^_ 7	767	__
6 8^. 9^.	689	..
