7^_ 3^_	73	__
7 0 7	707	
7 3^_ 5	735	_
3^. 1^.	31	..
2 2 3	223	
6 6	66	
2 0	20	
8 3^.. 8	838	..
8^..	8	..
8 4^.. 1	841	..
2 4	24	
1 7^.. 5	175	..
2 4^..	24	..
9 0^.. 1	901	..
6 5^. 7^.	657	..
5 2 3	523	
9 8^.. 0	980	..
1 2^_ 1^_	121	__
8 4 4	844	
4^_ 7^_	47	__
1^_ 1^_	11	__
6 8	68	
5 9^. 7^.	597	..
1 9^.. 7	197	..
3 1^. 1^.	311	..
4 4 6	446	
6 2^.. 9	629	..
5 0^.. 6	506	..
5 0^.. 0	500	..
6 9^.. 8	698	..
5^. 3^.	53	..
9^. 9^.	99	..
1 7^.. 5	175	..
4 7 2	472	
4 5 1	451	
6 9^.. 6	696	..
4 7 1	471	
4 7 9	479	
8 4^. 0^.	840	..
4 5 2	452	
4 4 6	446	
