531	301	subsistances	H	7
532	31	que	H	7
533	828	ce	H	7
534	455	Pais	H	7
535	966	pour	H	7
536	1134	roit	H	7
537	927	nous	H	7
538	83	four	M	7
539	907	ni	M	7
540	992	r	H	7
541	1127	se	H	7
542	1119	ront	M	7
543	835	en	H	7
544	851	parti	H	7
545	1017	re	H	7
546	580	n'	?	7
547	248	fer	?	7
548	208	me	H	7
549	1084	es	?	7
550	768	dans	H	7
551	527	W	?	7
552	314	e	?	7
553	1084	sel	?	7
554	557	,	?	7
555	593	et	H	7
556	768	dans	H	7
557	1142	Gue	H	7
558	582	l	H	7
559	142	dre	H	7
560	797	s	H	7
561	878	le	H	7
562	1116	res	H	7
563	886	te	?	7
564	1127	se	H	7
565	10	sa	?	7
566	527	u	?	7
567	663	ve	H	7
568	955	ra	H	7
569	768	dans	H	7
570	583	la	H	7
571	1142	Gue	H	7
572	582	l	H	7
573	142	dre	H	7
574	797	s	?	7
575	294	hollandoi	M	7
576	1021	se	?	7
577	740	avec	H	7
578	276	d'	H	7
579	926	autant	M	7
580	946	plus	H	7
581	219	de	H	7
582	336	facilite	M	7
583	31?	que	H	7
584	878	le	H	7
585	971	Rhin	M	8
586	593	et	H	8
587	583	la	H	8
588	208	Me	H	8
589	760	u	?	8
590	1021	se	?	8
591	996	y	H	8
592	832	con	H	8
593	521	du	H	8
594	516	i	?	8
595	792	sent	M	8
596	72	.	?	8
597	23	je	H	8
598	766	crois	H	8
599	1126	rois	H	8
600	633	donc	H	8
601	572	qu'il	H	8
602	1127	se	H	8
603	1134	roit	H	8
604	340	très	H	8
605	1193	utile	M	8
606	219	de	H	8
607	847	faire	H	8
608	1164	pre	H	8
609	828	ce	H	8
610	799	der	M	8
611	582	l'	H	8
612	429	avan	H	8
613	282	garde	M	8
614	219	de	H	8
615	582	l'	H	8
616	821	Armee	H	8
617	306	par	H	8
618	645	un	H	8
619	850	corps	M	8
620	548	con	H	8
621	701	si	H	8
622	219	de	?	8
623	355	Troupes	H	8
624	878	le	H	8
625	1108	ge	H	8
626	1116	res	H	8
627	593	et	H	8
628	749	donne	H	8
629	992	r	H	8
630	362	à	H	8
631	828	ce	H	8
632	850	corps	H	8
633	483	quelques	H	8
634	460	pie	H	8
635	1021	e	?	8
636	833	ces	H	8
637	219	de	H	8
638	225	cam	H	8
639	716	pa	H	8
640	853	g	?	8
641	912	ne	?	8
642	380	les	H	8
643	946	plus	H	8
644	878	le	H	8
645	1108	ge	H	8
646	1116	res	H	8
647	330	aussi	M	8
648	828	ce	H	8
649	850	corps	H	8
650	966	pour	H	8
651	1134	roit	H	8
652	1127	se	H	8
653	950	por	H	8
654	992	ter	H	8
655	740	avec	H	8
656	685	vi	H	8
657	2	va	H	8
658	841	ci	M	8
659	856	té	H	8
660	521	du	H	8
661	941	co	H	8
662	856	té	H	8
663	219	de	H	8
664	748	Clè	M	8
665	663	ve	H	8
666	593	et	H	8
667	899	sur	H	8
668	878	le	H	8
669	971	Rhin	H	8
670	593	et	H	9
671	479	empê	?	9
672	1134	roit	H	9
673	306	par	H	9
674	583	là	H	9
675	582	l'	H	9
676	90	ex	H	9
677	950	por	H	9
678	737	tation	M	9
679	276	d'	H	9
680	64?5	une	H	9
681	619	grande	H	9
682	851	parti	H	9
683	885	des	H	9
684	301	subsistances	H	9
685	196	M	H	9
686	219	de	H	9
687	907	Ni	H	9
688	797	s	H	9
689	954?	pen	H	9
690	580	,	H	9
691	797	s'	H	9
692	838	est	H	9
693	1136	char	M	9
694	992	?	?	9
695	1108	gé	H	9
696	219	de	H	9
697	784	rendre	M	9
698	949	com	H	9
699	576	p	H	9
700	856	te	H	9
701	362	à	H	9
702	196	M	H	9
703	219	de	H	9
704	272	Cre	H	9
705	725	mi	H	9
706	582	l	H	9
707	878	le	H	9
708	229	de	H	9
709	582	l'	H	9
710	1193	utilité	M	9
711	593	et	H	9
712	565	meme	H	9
713	219	de	H	9
714	583	la	H	9
715	906	necessité	M	9
716	219	de	H	9
717	1016	cette	H	9
718	415	arrangement	M	9
719	739	au	H	9
720	805	moyen	H	9
721	219	de	H	9
722	573	quoi	H	9
723	83	je	?	9
724	580	n'	H	9
725	835	en	H	9
726	248	fe	H	9
727	732	rai	M	9
728	948	point	H	9
729	219	de	H	9
730	723	Memoire	M	9
731	1127	se	H	9
732	853	pa	H	9
733	1017	re	H	9
734	13	.	H	9
735	109	Le	?	9
736	878	le(dup)	?	9
737	937	courrier	H	9
738	219	de	H	9
739	488	Reischach	H	9
740	362	a	H	9
741	64	pro	H	9
742	986	fi	H	9
743	856	té	H	9
744	276	d'	H	9
745	645	un	H	9
746	827	mo	H	9
747	308	ment	H	9
748	942	où	H	9
749	878	le	H	9
750	650	vent	H	9
751	797	s'	H	9
752	838	est	H	9
753	68?	trou	M	9
754	246	vé	M	9
755	878	fa	?	9
756	1158	vorable	?	9
757	675	2	?	9
758	667	6	H	9
759	219	de	H	9
760	828	ce	H	9
761	727	moi	H	9
762	53	dernier	M	9
763	593	et	H	9
764	573	quoi	H	9
765	31	que	H	9
766	878	le	H	9
767	650	vent	H	10
768	732	ai	H	10
769	2	va	H	10
770	579	ri	H	10
771	1021	é	H	10
772	516	j'	H	10
773	618	espe	H	10
774	572	qu'il	H	10
775	1127	se	H	10
776	955	ra	H	10
777	54	arri	H	10
778	57/2?9	v	?	10
779	663	é	?	10
780	835	en	H	10
781	414	Angleterre	H	10
782	593	et	H	10
783	31	que	H	10
784	569	vous	H	10
785	966	pour	H	10
786	1116	rez	M	10
787	768	dans	H	10
788	945	peu	H	10
789	835	en	H	10
790	631	avoir	H	10
791	885	des	H	10
792	98	nouvelle	H	10
793	13	.	H	10
794	119	null	M	10
795	865	j'ai	H	10
796	749	donne	H	10
797	202	à	H	10
798	582	l'	H	10
799	147	Italien	M	10
800	380	les	H	10
801	388	cent	M	10
802	1165	lo	H	10
803	527	u	M	10
804	1099	is	M	10
805	575	suivant	M	10
806	380	les	H	10
807	151	ordres	M	10
808	219	de	H	10
809	22	Sa_Majeste	H	10
810	1016	cet	H	10
811	91	homme	H	10
812	838	est	H	10
813	851	parti	H	10
814	828	ce	H	10
815	6	ma	H	10
816	5/6?88	tin	H	10
817	580	,	H	10
818	966	pour	H	10
819	112	se	?	10
820	7	?	?	10
821	754	ren	?	10
822	362	à	?	10
823	722	Hel	?	10
824	582	v	?	10
825	676	o	?	10
826	1021	e	?	10
827	787	t	H	10
828	593	et	H	10
829	219	de	H	10
830	583	là	H	10
831	835	en	H	10
832	414	Angleterre	H	10
833	1088	il	H	10
834	245	m'	H	10
835	1122	assure	H	10
836	572	qu'il	H	10
837	685	vi	H	10
838	835	en	H	10
839	89	droit	M	10
