code,character,codepoint
1286,嫜,U+5ADC
1287,嫫,U+5AEB
1289,妫,U+59AB
1290,娆,U+5A06
1291,嬉,U+5B09
1292,婵,U+5A75
1293,娇,U+5A07
1294,媭,U+5AAD
1295,嬖,U+5B16
1296,嬗,U+5B17
1297,嫱,U+5AF1
1298,嬛,U+5B1B
1299,嬴,U+5B34
1300,嫔,U+5AD4
1301,嬷,U+5B37
1303,嬲,U+5B32
1305,婴,U+5A74
1306,婶,U+5A76
1307,孀,U+5B40
1309,娈,U+5A08
1310,妞,U+599E
1311,子,U+5B50
1312,孑,U+5B51
1313,孔,U+5B54
1314,孕,U+5B55
1315,孓,U+5B53
1316,字,U+5B57
1317,存,U+5B58
1318,孚,U+5B5A
1319,孛,U+5B5B
1320,孜,U+5B5C
1321,孝,U+5B5D
1322,孟,U+5B5F
1323,季,U+5B63
1324,孤,U+5B64
1325,孥,U+5B65
1326,孩,U+5B69
1327,孙,U+5B59
1328,孰,U+5B70
1329,孱,U+5B71
1330,孳,U+5B73
1331,学,U+5B66
1332,孺,U+5B7A
1334,孪,U+5B6A
1335,孵,U+5B75
1336,宀,U+5B80
1337,宁,U+5B81
1338,它,U+5B83
