rows 377 good(>-0.62) 0
-1.18 t50r C33 60 ayanthsteunaieemesplaintessansquelesaiennestehttendesmsio
-1.18 t50r C25 42 upourathtdeelescomtandemensdepoaisqu
-1.18 t46v C14 53 entprocedoitdelempesoheuentqueyaporteooincsnleuela
-1.17 t48v C8 64 clecontraieeadenootlarmlquirestenoindeboutcomposldesnationss
-1.17 t46r C8 69 deloyetteoetirerenrroacequeielesualioisdemeprocureocebienaueorioe
-1.17 t46r C2 69 yonsmueiauoisdcseiournoodauentagepardecasiieuestoisassistedesidite
-1.17 t49r C35 63 emseretineranrandeioouenlsiuiquesauprenadechaiteauthiendoueles
-1.17 t48v C26 56 poureaxalaruiateetconrusiondeleuraconteforesetsiloessad
-1.17 t49v C16 10 teueque
-1.17 t49r C23 59 cnnqecneiusoueiaquinoemilhomteidepiedmdetroisaquatre
-1.17 t49v C5 37 eleeperdetouteoxcasionadeialausiede
-1.17 t48v C21 60 deunesacmlsensemblemoienantquontlesdinzenemisuuidontlacu
-1.17 t46r C9 69 ameteparcequeceiouniourdeoetardementmeriendointlnuoiisedificileet
-1.17 t48r C9 53 uelaaueoeacommenceldeunenpendrentpeudeineneulace
-1.17 t47r C18 56 irendeoitsamemoirealorieosamimmorteleauxsieclesadu
-1.16 t47r C34 26 resaaelesacdesiesamaaesteet
-1.16 t47r C16 59 onseruioemlesmoyensdeeestinuercequeleauroit[1][9]huetacecluur
-1.16 t47v C42 67 erlientsinostastassempeszilnyestdeonesforcesetsuetisantespourle
-1.16 t49v C15 61 ntpleuadaeuappelprcommeparmiraclealascoessioudecestediati
-1.16 t49r C13 59 ydonerenasseurantlaeeliaionqueleipersasionidesouelesonauo
-1.16 t50r C38 20 uoueauoiraeleauroi
-1.16 t47v C48 33 mepentoissuetasanmentdescharaedeu
-1.16 t46r C32 67 onueniensquisoaoientsuocedersilnyestitremedieneucecnoesquesi
-1.16 t47v C35 35 ntintirduelefaconillepeendrpit
-1.16 t48v C12 60 arolseleueultcontinuerlessecoursqueledoneettymntdetlesest
-1.15 t50r C39 27 descheuauxduloaisdedanaoan
-1.15 t46r C25 73 endisseenctoreslquelouetempsdesnoaelesdepcetquepourmendonerlemd
-1.15 t46r C37 66 quaoasedelafoiplesseenlaquelesereteeaoinlepartndoatholicilnesem
-1.15 t46r C33 67 iinemaiesteeustdepinsadispirsesministreseaunoupdeceosesneuenei
-1.15 t49r C14 62 itunealendroictdespeualeiquep[1]renoueueroitenbriefaueosnean
-1.15 t47v C29 20 faulsemenenonimpr
-1.15 t48v C32 72 delutilitequaportelenommpresencedunrondenlestateprendcoientolacea
-1.15 t47v C49 52 anterestacequitoeqoinsareputationulusaoaespareela
-1.15 t48v C10 60 ecestedefaicteiaueclesquelesondemererodtasspspuissantpourees
-1.15 t47r C14 39 alfouieetconfusiondesmeschanseurocoano
-1.15 t46r C27 19 inquanteescusouuls
-1.15 t47r C24 63 eaeoeadoenualonmistsusdeuxarmlsnaasquenuelquespersooaaesde
-1.15 t49v C1 23 seperhualentdescamese
-1.15 t50r C10 35 dutiacoinsonconfessernommecornp
-1.15 t49v C17 17 nhtreleleendebu
-1.14 t47v C14 64 cessiarandessomtoitmonstreequepcseuouloitrendremaisoradesaoa
-1.14 t49r C21 64 edepusdeueiautresianslaresolutionquilauoitaednsedalersatip
-1.14 t48r C18 25 plusdaetectionalaofuse
-1.14 t49v C28 24 alecoensheuerpourluim
-1.14 t46r C20 40 ueielespoaoisoearesenteraditemaieste
-1.14 t47r C15 63 issanredemontilzeerhercheeoientlesocasionsdemplonnerlearsuias
-1.14 t48v C23 60 ueolantpresserquecommenentainsidneenoaeleooinlesesphr
-1.14 t47v C16 58 mauissimondisozuesauetoinalacoanoissancedautremaedeluela
-1.14 t46v C40 65 tholiouescommenoerentipeodeelenaerancequilnaaenteudeleur
-1.14 t49v C24 28 ementbeiderearletopictequie
-1.13 t46v C6 61 moispasseilnedictestreedenaduertiquonlesauuindi[W]eoeiusquesa
-1.13 t49r C24 63 milcheuauxauoutdesireentrepoeadronuelquecnoseeupieardeanat
-1.13 t47r C32 62 cespasseslesquelzlerenemdsfondiientleursealumniesetlespeuplesla
-1.13 t49r C43 63 acauselesquelopensniobscurcirlhhneuedeuaiamaiestemdaminuerspe
-1.13 t46v C45 65 osesaeepenilcommenoerentaruardesprananesaunplusieunshdlesquia
-1.13 t47r C5 60 uucontrelecuelpourorsteseuleocasionunsestlitusleauemeo
-1.13 t47r C8 61 aquoisamaiesteseconfaruanteleenremporterlitleclnutente
-1.13 t46v C37 66 atnquilontrauordsedsederensetdansentsenaussentreenusdeoraintedpnc
-1.13 t46v C18 14 mlescatholiqu
-1.13 t49r C17 62 ilparustetquepartantillyeitoitloiiiledentrepeendreuuonuisem
-1.13 t48r C27 61 lanestedelenemylereoulerdelaeiuieredeseineleranheesurcelede
-1.12 t49r C18 67 ploroitleiuilesquitauoientreceunaenisonneleseussentreauilsuuulant
-1.12 t49v C48 62 ulpoureonuueasytinsiplainedepieteadiousteraunomqueleplen
-1.12 t49v C41 40 ilestenraindrequonsylaissealeoquocque
-1.12 t50r C32 68 cantantplusdordhietourneeamendieruelhslangfigasquimontestetenuset
-1.12 t46r C28 66 etireraueosslesombassadeursetaueoesestanspurdecadelapartdepoinoese
-1.12 t46v C9 68 squilnestriemplusrenuisenunestatquelaoomsenationdelaoelutationla
-1.12 t49r C38 61 niemeuroitneantmoinimaistredelacanpaiadefaisoitcroireapeei
-1.12 t47r C19 56 endrilescoutatoutcelanaaiaesansminteeompreettedictque
-1.12 t47v C12 19 uesestoitunartiaice
-1.12 t49v C19 19 qocquilsoinheret
-1.12 t50r C36 55 lbastonaestedepescneapalentiaacequeientendsfoetaso
-1.12 t48r C2 36 rleoniondetroisiesmemoyenquise
-1.11 t49r C50 43 aeneandecepteaaconelefomentelundespartia
-1.11 t49v C14 10 maisquaca
-1.11 t48v C3 36 uncorpsdeseonouquinetmilalemindz
-1.11 t50r C37 55 noontentementilsesttenuoooertdemoconctorquilmainad
-1.11 t49v C39 53 peesoneesquisontoarensaminsamisouduuinsdunemesmena
-1.11 t46v C20 62 esetrorcesdesamaitequeopasserauoedestreaistedicelesauoitiaicn
-1.11 t48r C13 62 outessotesdeaensdeoheusiecouracepourauoirueucestedeeniere
-1.11 t48v C19 36 nyenuelesforcesestantdehilesetquasy
-1.11 t47v C26 11 uereneleu
-1.11 t47r C35 27 shesamadestenarienespae
-1.10 t46r C1 12 eiapeudemo
-1.10 t48v C31 26 bienlesiconteaandroitet
-1.10 t49r C33 63 reilarmlcatholanuemonstranttoutoleiioursunteespeanddesirdeue
-1.10 t48v C36 44 iesmesleulslestationsquiluntsontsuircneset
-1.10 t49v C35 60 sasensmatesdesmauxsoueteertnetplainsdedesesplirdemieux
-1.10 t48r C7 64 censqueleetaloyerendansacouxnelemonstneuouloirnauorisenderru
-1.10 t48v C24 59 ancesterodtoublierlesmiseeesoiasslsetesleueroitlescouracet
-1.10 t47r C33 62 pertedesesperancesqualnonnepedeseueodroeleuesdeleurstise
-1.10 t46v C47 65 peesdundesemelablerustaduetodelaferesoissonslauslaamautresoisson
-1.10 t48v C20 23 deserosouldreatenir
-1.10 t47r C9 59 mentquelepeultdesirerauecbeauolupdhuneuretreaunatiuueuuerst
-1.10 t48v C35 59 bleesteeauxneuesconditionsetaeteenioansausnelessontnlsnoua
-1.09 t47v C28 14 esadeliurance
-1.09 t50r C29 38 muiendeseiournerdauentapeiatendraune
-1.09 t46v C30 35 decestearmlquechacunedioelesse
-1.09 t48r C24 64 quforodsteaddesespoirdentreeenauenaaloattementquenepardcno
-1.09 t47v C3 19 eustdonedessecurs
-1.09 t49v C43 64 oestecotolusionsiperhiudicialeslarelisilyatholinenonseument
-1.09 t49v C44 13 enymaisen
-1.09 t48v C14 66 nmaissieleneuoulodtporteetantdedespeucelafoisnuillulestcausid
-1.09 t48v C13 60 endreeucqhresenautresrespeouincessestdanautplusincommoder
-1.09 t48r C39 57 inuerlesditeraemlsetsouuphercestedespenoesiexcessiuequiln
-1.09 t49r C39 62 auoireudeuxsipuissauteartlsnouenliarienquilnyaplusdespoirdeu
-1.09 t46v C36 17 mplusieursponent
-1.08 t48r C11 63 dunroyoatholiiiusquesacequelonaespeustathorisenparlafonce
-1.08 t46v C42 66 iinonduoientparlafaiblessenlaqueledemeuooienulescatholiquesoei
-1.08 t47v C47 46 deluntdonercoissacedecequipoalitserieques
-1.08 t48r C1 47 equiducommencementsenlitenpaooedpitedesaetaires
-1.07 t49r C37 62 iatedouseitanssepareidaueclucseialenandsmsuissespourlapluspar
-1.07 t47r C11 14 cesteauissaate
-1.07 t50r C28 39 slefaireacantprinspreeasdemademande
-1.07 t47v C46 21 preentendeeisamaiesta
-1.07 t46v C1 65 loitapreposdelesfortpoasserilmeuoulutpersuaderlanlapoingedepl
-1.07 t46r C6 67 itoitrinableetquelonaulinpeudesatisfactiondetantdimplrtunitesqu
-1.07 t49r C47 62 aeriesessuiectoreheleidespaispaidespaisbaialaraisonquenou
-1.07 t48r C16 63 essedeparauantilestcertaincuelespeualeslasdenantseueteirleseoln
-1.06 t49r C27 65 mauoitcesecourienhoeuelondisoitportenenuieacequelenamanauod
-1.06 t46v C27 51 lapluspartdelanoulessecanholiquequisuudtceparty
-1.06 t49v C27 47 deseiasurleretouuodesonaasequilnesestadieracu
-1.06 t47v C21 67 minationdunrlntlesitimepourlopposeralheretiqueettyranuelesenemis
-1.06 t47v C11 37 lesunetiealiresdoneroientsoupconm
-1.06 t48v C27 66 inemaoestedeclaroitquelqueaetectionpartinulieeeenlanominatio
-1.06 t47v C40 62 tionsqilresentauoiralendroitdesamaiesteetnuelaontraictoft
-1.06 t47v C8 58 uoyesuinenauoientuneaprolesunesestoientantdeeleurafen
-1.06 t46v C25 62 oestearmlsialorissantequelesenemisestimoientsedebuoirconti
-1.06 t48r C31 65 deelespeouincesluneapreslaetreetpouraautquelonpoueoitquieon
-1.06 t48r C10 52 parlepassedenetielesestatqhterauxpourlanqminations
-1.05 t48r C4 63 dessuccesrespreceirnpeceensnesteesultequediminutiondesareautat
-1.05 t46v C4 67 cnelosquelesserodentprestesiuantquelesdeputesassentiointzmluca
-1.05 t49r C44 62 eaunationdientqueleenfeutreprinsladeetencenonpoueleheriice
-1.05 t48r C12 35 delesassemtlerqueiamaisparoequen
-1.05 t49v C8 36 disansequesaddtemaiesteayantesteplu
-1.05 t49v C4 22 couronequeuenantasu
-1.04 t49r C30 61 esquonleaitsecourudhommeiauecquelquesheureuxsucceimdepuiae
-1.04 t48v C11 60 neolecoursdelauictoireauditenemiquesaolneelesditesdeux
-1.04 t49r C20 63 ousonplaceforteetdimportanoeenauoitunedoceitefaconmesteiesuiui
-1.04 t48r C14 64 aemldelauueleonesperoittantdesouleacementnoaenerariensansen
-1.04 t48r C20 52 tendetestrecoheutelnonseulementdeanssonpartcmais
-1.04 t49r C10 63 syolclequelauoitlaconditedusecourinuoyeealandeesquiauoitdn
-1.03 t48r C6 12 stenestend
-1.03 t47r C4 60 uesenplusieurssieclesetredentementsoubzleregneduderniedero
-1.03 t50r C8 63 ayonestantbienohrtaitquepapeudesatisfactiondeuxmquantardonoo
-1.03 t46v C31 66 disposoitafairenuelqueeetorepounarendreaduantaresunlenemydesor
-1.03 t48r C17 57 siastiquesintimidesetepuisesdemoyensmlanolessequinaieres
-1.02 t48v C15 13 ererquepour
-1.02 t49v C9 43 sieursfotsindormldelestandeseetairesetdese
-1.02 t49r C28 64 tlaisseentierenleuouloieruinerquecd[1]estantentreentndauoitest
-1.02 t49v C18 23 lientexclurelaissant
-1.02 t49v C2 17 ebilindrecaleme
-1.02 t49r C34 62 uinaucombatcontraintalafinparledefaultdeiuresdepasseeiuier
-1.01 t49r C25 55 endantionaltessemaisquelonauoitreausedelefaieesoutosa
-0.99 t48r C5 67 ionalendroictdetouteinationslesquelessroientquesapuissanoutese
-0.99 t50r C9 44 mmencedutraacteraueclundcommedeualetamaistre
-0.99 t48r C32 62 erquelentretenementdesditesdeuxarolsoeuiendroitaprosdeteoisce
-0.99 t47v C9 60 samaiestencnauroitpouetantsparandeueetmoinsderespectet
-0.99 t50r C35 11 huesinutile
